-x 84.206.44.4	
-x 80.244.96.1	
-x 80.244.96.97	
-x 46.107.233.236	
-x 195.56.65.179	
-x 195.199.255.56	
-x 87.229.0.101	
-x 87.106.209.106	
-x 77.221.39.2	
-x 62.77.222.90	
-x 95.108.150.1	
-x 81.196.170.20	
-x 213.16.82.57	
-x 82.141.157.163	
-x 79.120.177.36	
-x 212.24.188.131	
-x 62.77.202.25	
-x 80.95.76.243	
-x 91.135.127.2	
-x 171.19.1.6	
-x 95.108.158.131	
-x 91.219.84.15	
-x 195.70.63.2	
-x 87.229.44.126	
-x 212.24.189.1	
-x 195.228.155.98	
-x 66.219.58.40	
-x 109.110.128.35	
-x 82.141.157.162	
-x 212.108.204.28	
-x 87.106.208.80	
-x 194.176.162.1	
-x 138.64.4.20	
-x 109.69.119.29	
-x 95.108.158.137	
-x 81.94.250.2	
-x 195.228.3.2	
-x 77.110.131.36	
-x 84.206.24.50	
-x 212.92.28.69	
-x 213.16.82.56	
-x 66.235.124.42	
-x 95.171.76.34	
-x 193.225.20.99	
-x 66.235.124.43	
-x 66.235.124.41	
-x 193.226.128.1	
-x 188.36.248.2	
-x 66.235.124.44	
-x 209.85.32.23	
-x 95.108.158.130	
-x 193.231.238.1	
-x 160.114.41.253	
-x 193.224.40.5	
-x 88.151.100.24	
-x 66.235.124.45	
-x 193.225.216.2	
-x 62.134.42.226	
-x 212.92.18.24	
-x 213.16.108.3	
-x 193.68.47.4	
-x 195.228.9.1	
-x 84.2.76.2	
-x 195.56.234.100	
-x 195.56.170.1	
-x 142.77.2.101	
-x 109.74.49.20	
-x 152.66.224.9	
-x 195.70.47.61	
-x 213.157.167.157	
-x 217.20.130.10	
-x 61.94.192.12	
-x 193.231.249.6	
-x 212.108.204.29	
-x 193.6.40.2	
-x 213.163.41.166	
-x 193.6.144.13	
-x 218.248.255.162	
-x 62.225.37.66	
-x 79.171.128.25	
-x 213.16.93.1	
-x 193.224.76.3	
-x 193.225.84.1	
-x 80.243.68.34	
-x 195.137.255.37	
-x 193.6.176.19	
-x 79.120.129.82	
-x 195.56.172.187	
-x 76.73.0.2	
-x 80.251.201.177	
-x 193.6.62.162	
-x 200.31.6.37	
-x 79.120.137.26	
-x 81.183.226.187	
-x 194.44.214.40	
-x 85.248.57.7	
-x 195.228.156.106	
-x 194.152.130.147	
-x 80.82.32.9	
-x 41.221.20.4	
