157 2011-10-28 14:00:00 7 
158 2011-10-28 15:00:00 6 
159 2011-10-28 16:00:00 8 
160 2011-10-28 17:00:00 9 
161 2011-10-28 18:00:00 6 
162 2011-10-28 19:00:00 6 
163 2011-10-28 20:00:00 6 
164 2011-10-28 21:00:00 7 
165 2011-10-29 00:00:00 6 
166 2011-10-29 01:00:00 6 
167 2011-10-29 02:00:00 6 
168 2011-10-29 03:00:00 6 
169 2011-10-29 04:00:00 6 
170 2011-10-29 05:00:00 6 
171 2011-10-29 06:00:00 6 
172 2011-10-29 07:00:00 6 
173 2011-10-29 08:00:00 6 
174 2011-10-29 09:00:00 6 
175 2011-10-29 10:00:00 6 
176 2011-10-29 11:00:00 6 
177 2011-10-29 12:00:00 6 
178 2011-10-29 13:00:00 6 
179 2011-10-29 14:00:00 7 
180 2011-10-29 15:00:00 6 
181 2011-10-29 16:00:00 6 
182 2011-10-29 17:00:00 6 
183 2011-10-29 18:00:00 6 
184 2011-10-29 19:00:00 6 
185 2011-10-29 20:00:00 8 
186 2011-10-29 21:00:00 6 
187 2011-10-30 00:00:00 7 
188 2011-10-30 01:00:00 7 
189 2011-10-30 02:00:00 6 
190 2011-10-30 03:00:00 8 
191 2011-10-30 04:00:00 9 
192 2011-10-30 05:00:00 9 
193 2011-10-30 06:00:00 11 
194 2011-10-30 07:00:00 12 
195 2011-10-30 08:00:00 10 
196 2011-10-30 09:00:00 10 
197 2011-10-30 10:00:00 10 
198 2011-10-30 11:00:00 11 
199 2011-10-30 12:00:00 14 
200 2011-10-30 13:00:00 10 
201 2011-10-30 14:00:00 9 
202 2011-10-30 15:00:00 11 
203 2011-10-30 16:00:00 15 
204 2011-10-30 17:00:00 7 
205 2011-10-30 18:00:00 6 
206 2011-10-30 19:00:00 6 
207 2011-10-30 20:00:00 6 
208 2011-10-30 21:00:00 6 
209 2011-10-30 22:00:00 9 
210 2011-10-30 23:00:00 2 
211 2011-10-31 00:00:00 7 
212 2011-10-31 01:00:00 8 
213 2011-10-31 02:00:00 7 
214 2011-10-31 03:00:00 9 
215 2011-10-31 04:00:00 6 
216 2011-10-31 05:00:00 6 
217 2011-10-31 06:00:00 9 
218 2011-10-31 07:00:00 8 
219 2011-10-31 08:00:00 7 
220 2011-10-31 09:00:00 7 
221 2011-10-31 10:00:00 6 
222 2011-10-31 11:00:00 6 
223 2011-10-31 12:00:00 6 
224 2011-10-31 13:00:00 6 
225 2011-10-31 14:00:00 6 
226 2011-10-31 15:00:00 6 
227 2011-10-31 16:00:00 6 
228 2011-10-31 17:00:00 13 
229 2011-10-31 18:00:00 7 
230 2011-10-31 19:00:00 6 
231 2011-10-31 20:00:00 6 
232 2011-10-31 21:00:00 10 
233 2011-10-31 22:00:00 6 
234 2011-11-01 00:00:00 9 
235 2011-11-01 01:00:00 6 
236 2011-11-01 02:00:00 10 
237 2011-11-01 03:00:00 10 
238 2011-11-01 04:00:00 10 
239 2011-11-01 05:00:00 9 
240 2011-11-01 06:00:00 10 
241 2011-11-01 07:00:00 13 
242 2011-11-01 08:00:00 11 
243 2011-11-01 09:00:00 14 
244 2011-11-01 10:00:00 9 
245 2011-11-01 11:00:00 14 
246 2011-11-01 12:00:00 12 
247 2011-11-01 13:00:00 34 
248 2011-11-01 14:00:00 10 
249 2011-11-01 15:00:00 12 
250 2011-11-01 16:00:00 10 
251 2011-11-01 17:00:00 12 
252 2011-11-01 18:00:00 6 
253 2011-11-01 19:00:00 8 
254 2011-11-01 20:00:00 7 
255 2011-11-01 21:00:00 8 
256 2011-11-01 22:00:00 7 
257 2011-11-02 00:00:00 11 
258 2011-11-02 01:00:00 7 
259 2011-11-02 02:00:00 7 
260 2011-11-02 03:00:00 6 
261 2011-11-02 04:00:00 7 
262 2011-11-02 05:00:00 8 
263 2011-11-02 06:00:00 9 
264 2011-11-02 07:00:00 8 
265 2011-11-02 08:00:00 10 
266 2011-11-02 09:00:00 10 
267 2011-11-02 10:00:00 6 
268 2011-11-02 11:00:00 7 
269 2011-11-02 12:00:00 10 
270 2011-11-02 13:00:00 10 
271 2011-11-02 14:00:00 13 
272 2011-11-02 15:00:00 9 
273 2011-11-02 16:00:00 6 
274 2011-11-02 17:00:00 6 
275 2011-11-02 18:00:00 18 
276 2011-11-02 19:00:00 8 
277 2011-11-02 20:00:00 13 
278 2011-11-02 21:00:00 9 
279 2011-11-02 22:00:00 13 
280 2011-11-02 23:00:00 2 
281 2011-11-03 00:00:00 12 
282 2011-11-03 01:00:00 8 
283 2011-11-03 02:00:00 10 
284 2011-11-03 03:00:00 10 
285 2011-11-03 04:00:00 9 
286 2011-11-03 05:00:00 12 
287 2011-11-03 06:00:00 8 
288 2011-11-03 07:00:00 7 
289 2011-11-03 08:00:00 8 
290 2011-11-03 09:00:00 11 
291 2011-11-03 10:00:00 7 
292 2011-11-03 11:00:00 6 
293 2011-11-03 12:00:00 7 
294 2011-11-03 13:00:00 6 
295 2011-11-03 14:00:00 6 
296 2011-11-03 15:00:00 13 
297 2011-11-03 16:00:00 6 
298 2011-11-03 17:00:00 8 
299 2011-11-03 18:00:00 10 
300 2011-11-03 19:00:00 9 
301 2011-11-03 20:00:00 7 
302 2011-11-03 21:00:00 9 
303 2011-11-03 22:00:00 6 
304 2011-11-03 23:00:00 1 
305 2011-11-04 00:00:00 10 
306 2011-11-04 01:00:00 7 
307 2011-11-04 02:00:00 6 
308 2011-11-04 03:00:00 8 
309 2011-11-04 04:00:00 7 
310 2011-11-04 05:00:00 8 
311 2011-11-04 06:00:00 9 
312 2011-11-04 07:00:00 7 
313 2011-11-04 08:00:00 6 
314 2011-11-04 09:00:00 11 
315 2011-11-04 10:00:00 7 
316 2011-11-04 11:00:00 6 
317 2011-11-04 12:00:00 8 
318 2011-11-04 13:00:00 7 
319 2011-11-04 14:00:00 10 
320 2011-11-04 15:00:00 6 
321 2011-11-04 16:00:00 7 
322 2011-11-04 17:00:00 6 
323 2011-11-04 18:00:00 6 
324 2011-11-04 19:00:00 10 
325 2011-11-04 20:00:00 9 
326 2011-11-04 21:00:00 9 
327 2011-11-04 22:00:00 10 
328 2011-11-04 23:00:00 1 
329 2011-11-05 00:00:00 16 
330 2011-11-05 01:00:00 6 
331 2011-11-05 02:00:00 8 
332 2011-11-05 03:00:00 9 
333 2011-11-05 04:00:00 9 
334 2011-11-05 05:00:00 9 
335 2011-11-05 06:00:00 9 
336 2011-11-05 07:00:00 7 
337 2011-11-05 08:00:00 9 
338 2011-11-05 09:00:00 8 
339 2011-11-05 10:00:00 9 
340 2011-11-05 11:00:00 14 
341 2011-11-05 12:00:00 8 
342 2011-11-05 13:00:00 11 
343 2011-11-05 14:00:00 6 
344 2011-11-05 15:00:00 9 
345 2011-11-05 16:00:00 10 
346 2011-11-05 17:00:00 11 
347 2011-11-05 18:00:00 6 
348 2011-11-05 19:00:00 6 
349 2011-11-05 20:00:00 6 
350 2011-11-05 21:00:00 6 
